"column_name","data_type","is_nullable","column_default"
"sys4_branch_string_8","text","YES",NULL
"sys4_branch_string_9","text","YES",NULL
"sys4_branch_string_10","text","YES",NULL
"sys4_count_validation","text","YES",NULL
"sys4_backup_option","text","YES",NULL
"sys4_ess_existing","boolean","YES",NULL
"sys4_no_sms","boolean","YES",NULL
"sys4_ess_make","text","YES",NULL
"sys4_ess_model","text","YES",NULL
"sys4_ess_id","uuid","YES",NULL
"sys4_ess_main_breaker_rating","text","YES",NULL
"sys4_ess_upstream_breaker_rating","text","YES",NULL
"sys4_ess_upstream_breaker_location","text","YES",NULL
"sys4_battery_existing","boolean","YES",NULL
"sys4_battery_1_qty","integer","YES",NULL
"sys4_battery_1_make","text","YES",NULL
"sys4_battery_1_model","text","YES",NULL
"sys4_battery1_id","uuid","YES",NULL
"sys4_battery2_existing","boolean","YES",NULL
"sys4_battery_2_qty","integer","YES",NULL
"sys4_battery_2_make","text","YES",NULL
"sys4_battery_2_model","text","YES",NULL
"sys4_battery2_id","uuid","YES",NULL
"sys4_combination_method","text","YES",NULL
"ele_ses_type","text","YES",NULL
"ele_main_circuit_breakers_qty","integer","YES",NULL
"ele_bus_bar_rating","text","YES",NULL
"ele_main_circuit_breaker_rating","text","YES",NULL
"ele_feeder_location_on_bus_bar","text","YES",NULL
"ele_main_panel_upgrade","boolean","YES",NULL
"ele_floor_area","text","YES",NULL
"ele_small_appliance_circuits","text","YES",NULL
"ele_loadtype_1","text","YES",NULL
"ele_loadtype_2","text","YES",NULL
"ele_loadtype_3","text","YES",NULL
"ele_loadtype_4","text","YES",NULL
"ele_loadtype_5","text","YES",NULL
"ele_loadtype_6","text","YES",NULL
"ele_loadtype_7","text","YES",NULL
"ele_loadtype_8","text","YES",NULL
"ele_loadtype_9","text","YES",NULL
"ele_loadtype_10","text","YES",NULL
"ele_loadtype_11","text","YES",NULL
"ele_loadtype_12","text","YES",NULL
"ele_loadtype_13","text","YES",NULL
"ele_loadtype_14","text","YES",NULL
"ele_loadtype_15","text","YES",NULL
"ele_loadtype_16","text","YES",NULL
"ele_loadtype_17","text","YES",NULL
"ele_2p_breaker_1","text","YES",NULL
"ele_2p_breaker_2","text","YES",NULL
"ele_2p_breaker_3","text","YES",NULL
"ele_2p_breaker_4","text","YES",NULL
"ele_2p_breaker_5","text","YES",NULL
"ele_2p_breaker_6","text","YES",NULL
"ele_2p_breaker_7","text","YES",NULL
"ele_2p_breaker_8","text","YES",NULL
"ele_2p_breaker_9","text","YES",NULL
"ele_2p_breaker_10","text","YES",NULL
"ele_2p_breaker_11","text","YES",NULL
"ele_2p_breaker_12","text","YES",NULL
"ele_2p_breaker_13","text","YES",NULL
"ele_2p_breaker_14","text","YES",NULL
"ele_2p_breaker_15","text","YES",NULL
"ele_2p_breaker_16","text","YES",NULL
"ele_2p_breaker_17","text","YES",NULL
"ele_method_of_interconnection","text","YES",NULL
"ele_breaker_location","text","YES",NULL
"bls1_backuploader_existing","boolean","YES",NULL
"bls1_backuploader_bus_bar_rating","text","YES",NULL
"bls1_backuploader_main_breaker_rating","text","YES",NULL
"bls1_backuploader_upstream_breaker_rating","text","YES",NULL
"bls1_backup_load_sub_panel_make","text","YES",NULL
"bls1_backup_load_sub_panel_model","text","YES",NULL
"bls1_backupload_sub_panel_id","uuid","YES",NULL
"bls1_load_type_1","text","YES",NULL
"bls1_load_type_2","text","YES",NULL
"bls1_load_type_3","text","YES",NULL
"bls1_load_type_4","text","YES",NULL
"bls1_load_type_5","text","YES",NULL
"bls1_load_type_6","text","YES",NULL
"bls1_load_type_7","text","YES",NULL
"bls1_load_type_8","text","YES",NULL
"bls1_load_type_9","text","YES",NULL
"bls1_load_type_10","text","YES",NULL
"bls1_load_type_11","text","YES",NULL
"bls1_load_type_12","text","YES",NULL
"bls1_load_type_13","text","YES",NULL
"bls1_load_type_14","text","YES",NULL
"bls1_load_type_15","text","YES",NULL
"bls1_load_type_16","text","YES",NULL
"bls1_load_type_17","text","YES",NULL
"bls1_load_type_18","text","YES",NULL
"bls1_load_type_19","text","YES",NULL
"bls1_load_type_20","text","YES",NULL
"bls1_breaker_rating_1","text","YES",NULL
"bls1_breaker_rating_2","text","YES",NULL
"bls1_breaker_rating_3","text","YES",NULL
"bls1_breaker_rating_4","text","YES",NULL
"bls1_breaker_rating_5","text","YES",NULL
"bls1_breaker_rating_6","text","YES",NULL
"bls1_breaker_rating_7","text","YES",NULL
"bls1_breaker_rating_8","text","YES",NULL
"bls1_breaker_rating_9","text","YES",NULL
"bls1_breaker_rating_10","text","YES",NULL
"bls1_breaker_rating_11","text","YES",NULL
"bls1_breaker_rating_12","text","YES",NULL
"bls1_breaker_rating_13","text","YES",NULL
"bls1_breaker_rating_14","text","YES",NULL
"bls1_breaker_rating_15","text","YES",NULL
"bls1_breaker_rating_16","text","YES",NULL
"bls1_breaker_rating_17","text","YES",NULL
"bls1_breaker_rating_18","text","YES",NULL
"bls1_breaker_rating_19","text","YES",NULL
"bls1_breaker_rating_20","text","YES",NULL
"bls2_backuploader_existing","boolean","YES",NULL
"bls2_bus_bar_rating","text","YES",NULL
"bls2_main_breaker_rating","text","YES",NULL
"bls2_upstream_breaker_rating","text","YES",NULL
"bls2_battery_combiner_panel_make","text","YES",NULL
"bls2_battery_combiner_panel_model","text","YES",NULL
"bls2_batterycombinerpanel_id","uuid","YES",NULL
"spb_subpanel_existing","boolean","YES",NULL
"spb_bus_bar_rating","text","YES",NULL
"spb_main_breaker_rating","text","YES",NULL
"spb_upstream_breaker_rating","text","YES",NULL
"spb_sub_panel_make","text","YES",NULL
"spb_sub_panel_model","text","YES",NULL
"spb_subpanel_id","uuid","YES",NULL
"spb_load_type_1","text","YES",NULL
"spb_load_type_2","text","YES",NULL
"spb_load_type_3","text","YES",NULL
"spb_load_type_4","text","YES",NULL
"spb_load_type_5","text","YES",NULL
"spb_load_type_6","text","YES",NULL
"spb_load_type_7","text","YES",NULL
"spb_load_type_8","text","YES",NULL
"spb_load_type_9","text","YES",NULL
"spb_load_type_10","text","YES",NULL
"spb_load_type_11","text","YES",NULL
"spb_load_type_12","text","YES",NULL
"spb_load_type_13","text","YES",NULL
"spb_load_type_14","text","YES",NULL
"spb_load_type_15","text","YES",NULL
"spb_load_type_16","text","YES",NULL
"spb_load_type_17","text","YES",NULL
"spb_load_type_18","text","YES",NULL
"spb_load_type_19","text","YES",NULL
"spb_load_type_20","text","YES",NULL
"spb_breaker_rating_1","text","YES",NULL
"spb_breaker_rating_2","text","YES",NULL
"spb_breaker_rating_3","text","YES",NULL
"spb_breaker_rating_4","text","YES",NULL
"spb_breaker_rating_5","text","YES",NULL
"spb_breaker_rating_6","text","YES",NULL
"spb_breaker_rating_7","text","YES",NULL
"spb_breaker_rating_8","text","YES",NULL
"spb_breaker_rating_9","text","YES",NULL
"spb_breaker_rating_10","text","YES",NULL
"spb_breaker_rating_11","text","YES",NULL
"spb_breaker_rating_12","text","YES",NULL
"spb_breaker_rating_13","text","YES",NULL
"spb_breaker_rating_14","text","YES",NULL
"spb_breaker_rating_15","text","YES",NULL
"spb_breaker_rating_16","text","YES",NULL
"spb_breaker_rating_17","text","YES",NULL
"spb_breaker_rating_18","text","YES",NULL
"spb_breaker_rating_19","text","YES",NULL
"spb_breaker_rating_20","text","YES",NULL
"rta_roofing_material","text","YES",NULL
"rta_framing_size","text","YES",NULL
"rta_framing_spacing","text","YES",NULL
"rta_rail_make","text","YES",NULL
"rta_rail_model","text","YES",NULL
"rta_rail_id","uuid","YES",NULL
"rta_attachment_make","text","YES",NULL
"rta_attachment_model","text","YES",NULL
"rta_attachment_id","uuid","YES",NULL
"rtb_roofing_material","text","YES",NULL
"rtb_framing_size","text","YES",NULL
"rtb_framing_spacing","text","YES",NULL
"rtb_rail_make","text","YES",NULL
"rtb_rail_model","text","YES",NULL
"rtb_rail_id","uuid","YES",NULL
"rtb_attachment_make","text","YES",NULL
"rtb_attachment_model","text","YES",NULL
"rtb_attachment_id","uuid","YES",NULL
"mp1_roof_type","text","YES",NULL
"mp1_stories","integer","YES",NULL
"mp1_pitch","integer","YES",NULL
"mp1_azimuth","integer","YES",NULL
"mp1_tilt_mount_azimuth","integer","YES",NULL
"mp1_tilt_mount_pitch","integer","YES",NULL
"mp2_roof_type","text","YES",NULL
"mp2_stories","integer","YES",NULL
"mp2_pitch","integer","YES",NULL
"mp2_azimuth","integer","YES",NULL
"mp2_tilt_mount_azimuth","integer","YES",NULL
"mp2_tilt_mount_pitch","integer","YES",NULL
