"id","model","status","manufacturer","equipment_type","uuid","created_at","is_validated"
19,"IQ6PLUS-72-ACM-US",NULL,"Enphase","MicroInverter","8bb1ce52-ead7-434a-81ff-14d7dc54f63b","2024-08-12 14:33:46.20281+00",False
20,"IQ6PLUS-72-2-US",NULL,"Enphase","MicroInverter","c0a1a4de-dffa-40c0-be4a-cc872c9399dd","2024-08-12 14:33:46.20281+00",False
21,"IQ6PLUS-ACB-LL",NULL,"Enphase","MicroInverter","1a4fae87-8a42-4e94-aebb-88014d365a76","2024-08-12 14:33:46.20281+00",False
22,"IQ7-60-5-US",NULL,"Enphase","MicroInverter","372fc9a8-5fe1-42af-96a2-9692692a82d7","2024-08-12 14:33:46.20281+00",False
23,"IQ7-60-ACM-US",NULL,"Enphase","MicroInverter","20a4748a-c3d4-46ec-90ff-429aecb4f4da","2024-08-12 14:33:46.20281+00",False
24,"IQ7-60-2-US",NULL,"Enphase","MicroInverter","3119a1a9-f448-4fc8-b2d8-3af5bab05b77","2024-08-12 14:33:46.20281+00",False
25,"IQ7-60-ACM-US-NM",NULL,"Enphase","MicroInverter","ec9f54dc-bcef-4462-818e-96826c317018","2024-08-12 14:33:46.20281+00",False
26,"IQ7-60-E-ACM-US",NULL,"Enphase","MicroInverter","16ebcfcd-e33e-4b1f-96ac-75caf375b21d","2024-08-12 14:33:46.20281+00",False
27,"IQ7-60-E-US",NULL,"Enphase","MicroInverter","3f60298f-96be-4855-9a46-645f6f8e9d6d","2024-08-12 14:33:46.20281+00",False
28,"IQ7-60-E-ACM-US-NM",NULL,"Enphase","MicroInverter","0e729e98-b8fa-44cf-b31e-423ac3e441ed","2024-08-12 14:33:46.20281+00",False
29,"IQ7A-66-x-US-&",NULL,"Enphase","MicroInverter","52cae5cb-888e-4577-a346-fff481e74ee9","2024-08-12 14:33:46.20281+00",False
30,"IQ7-60-M-US",NULL,"Enphase","MicroInverter","71809f7c-96a3-46c3-8200-17666c63d409","2024-08-12 14:33:46.20281+00",False
31,"IQ7A-66-x-ACM-US-y-z-&",NULL,"Enphase","MicroInverter","fbd81bde-114e-4d17-ab3d-d3efd0a1d95c","2024-08-12 14:33:46.20281+00",False
32,"IQ7A-72-2-US",NULL,"Enphase","MicroInverter","ca0a5ab7-86a1-4505-b2ea-4f74029a85c2","2024-08-12 14:33:46.20281+00",False
33,"IQ7A-72-E-ACM-US-NM",NULL,"Enphase","MicroInverter","8e9f1dc3-1387-48a5-b9ed-09b6950b7877","2024-08-12 14:33:46.20281+00",False
34,"IQ7A-72-5-US",NULL,"Enphase","MicroInverter","bd6ce67a-db21-4dd4-a281-efc4e24f0cc0","2024-08-12 14:33:46.20281+00",False
35,"IQ7A-72-ACM-US",NULL,"Enphase","MicroInverter","c9ca1d13-e257-4905-83d4-c9fabd7e6017","2024-08-12 14:33:46.20281+00",False
36,"IQ7A-72-E-ACM-US",NULL,"Enphase","MicroInverter","37560a30-36e5-4e8f-858a-eca651654d95","2024-08-12 14:33:46.20281+00",False
37,"IQ7AS-66-5-US",NULL,"Enphase","MicroInverter","1be3803f-a168-414d-84e3-1fd5391778e3","2024-08-12 14:33:46.20281+00",False
38,"IQ7A-72-M-US",NULL,"Enphase","MicroInverter","d4053acb-5bcb-4840-95fa-d8d1debb1836","2024-08-12 14:33:46.20281+00",False
39,"IQ7A-72-E-US",NULL,"Enphase","MicroInverter","b28af6d9-482a-4338-97b0-741743071fd3","2024-08-12 14:33:46.20281+00",False
