"table_name"	"column_name"	"data_type"	"character_maximum_length"	"numeric_precision"	"is_nullable"	"column_default"	"ordinal_position"
"project_system_details"	"sys3_branch_string_5"	"text"			"YES"		134
"project_system_details"	"sys3_branch_string_6"	"text"			"YES"		135
"project_system_details"	"sys3_branch_string_7"	"text"			"YES"		136
"project_system_details"	"sys3_branch_string_8"	"text"			"YES"		137
"project_system_details"	"sys3_branch_string_9"	"text"			"YES"		138
"project_system_details"	"sys3_branch_string_10"	"text"			"YES"		139
"project_system_details"	"sys3_count_validation"	"text"			"YES"		140
"project_system_details"	"sys3_backup_option"	"text"			"YES"		141
"project_system_details"	"sys3_ess_existing"	"boolean"			"YES"		142
"project_system_details"	"sys3_no_sms"	"boolean"			"YES"		143
"project_system_details"	"sys3_ess_make"	"text"			"YES"		144
"project_system_details"	"sys3_ess_model"	"text"			"YES"		145
"project_system_details"	"sys3_ess_id"	"uuid"			"YES"		146
"project_system_details"	"sys3_ess_main_breaker_rating"	"text"			"YES"		147
"project_system_details"	"sys3_ess_upstream_breaker_rating"	"text"			"YES"		148
"project_system_details"	"sys3_ess_upstream_breaker_location"	"text"			"YES"		149
"project_system_details"	"sys3_battery1_existing"	"boolean"			"YES"		150
"project_system_details"	"sys3_battery_1_qty"	"integer"		32	"YES"		151
"project_system_details"	"sys3_battery_1_make"	"text"			"YES"		152
"project_system_details"	"sys3_battery_1_model"	"text"			"YES"		153
"project_system_details"	"sys3_battery1_id"	"uuid"			"YES"		154
"project_system_details"	"sys3_battery2_existing"	"boolean"			"YES"		155
"project_system_details"	"sys3_battery_2_qty"	"integer"		32	"YES"		156
"project_system_details"	"sys3_battery_2_make"	"text"			"YES"		157
"project_system_details"	"sys3_battery_2_model"	"text"			"YES"		158
"project_system_details"	"sys3_battery2_id"	"uuid"			"YES"		159
"project_system_details"	"sys3_combination_method"	"text"			"YES"		160
"project_system_details"	"sys4_solar_panel_existing"	"boolean"			"YES"		161
"project_system_details"	"sys4_solar_panel_qty"	"integer"		32	"YES"		162
"project_system_details"	"sys4_solar_panel_make"	"text"			"YES"		163
"project_system_details"	"sys4_solar_panel_model"	"text"			"YES"		164
"project_system_details"	"sys4_solarpanel_id"	"uuid"			"YES"		165
"project_system_details"	"sys4_micro_inverter_existing"	"boolean"			"YES"		166
"project_system_details"	"sys4_micro_inverter_make"	"text"			"YES"		167
"project_system_details"	"sys4_micro_inverter_model"	"text"			"YES"		168
"project_system_details"	"sys4_micro_inverter_id"	"uuid"			"YES"		169
"project_system_details"	"sys4_micro_inverter_qty"	"integer"		32	"YES"		170
"project_system_details"	"sys4_combiner_existing"	"boolean"			"YES"		171
"project_system_details"	"sys4_combiner_panel_make"	"text"			"YES"		172
"project_system_details"	"sys4_combiner_panel_model"	"text"			"YES"		173
"project_system_details"	"sys4_combinerpanel_id"	"uuid"			"YES"		174
"project_system_details"	"sys4_optimizer_existing"	"boolean"			"YES"		175
"project_system_details"	"sys4_optimizer_make"	"text"			"YES"		176
"project_system_details"	"sys4_optimizer_model"	"text"			"YES"		177
"project_system_details"	"sys4_optimizer_id"	"uuid"			"YES"		178
"project_system_details"	"sys4_inv_max_continuous_output"	"text"			"YES"		179
"project_system_details"	"sys4_panel_count"	"integer"		32	"YES"		180
"project_system_details"	"sys4_branch_string_1"	"text"			"YES"		181
"project_system_details"	"sys4_branch_string_2"	"text"			"YES"		182
"project_system_details"	"sys4_branch_string_3"	"text"			"YES"		183
"project_system_details"	"sys4_branch_string_4"	"text"			"YES"		184
"project_system_details"	"sys4_branch_string_5"	"text"			"YES"		185
"project_system_details"	"sys4_branch_string_6"	"text"			"YES"		186
"project_system_details"	"sys4_branch_string_7"	"text"			"YES"		187
"project_system_details"	"sys4_branch_string_8"	"text"			"YES"		188
"project_system_details"	"sys4_branch_string_9"	"text"			"YES"		189
"project_system_details"	"sys4_branch_string_10"	"text"			"YES"		190
"project_system_details"	"sys4_count_validation"	"text"			"YES"		191
"project_system_details"	"sys4_backup_option"	"text"			"YES"		192
"project_system_details"	"sys4_ess_existing"	"boolean"			"YES"		193
"project_system_details"	"sys4_no_sms"	"boolean"			"YES"		194
"project_system_details"	"sys4_ess_make"	"text"			"YES"		195
"project_system_details"	"sys4_ess_model"	"text"			"YES"		196
"project_system_details"	"sys4_ess_id"	"uuid"			"YES"		197
"project_system_details"	"sys4_ess_main_breaker_rating"	"text"			"YES"		198
"project_system_details"	"sys4_ess_upstream_breaker_rating"	"text"			"YES"		199
"project_system_details"	"sys4_ess_upstream_breaker_location"	"text"			"YES"		200
"project_system_details"	"sys4_battery_existing"	"boolean"			"YES"		201
"project_system_details"	"sys4_battery_1_qty"	"integer"		32	"YES"		202
"project_system_details"	"sys4_battery_1_make"	"text"			"YES"		203
"project_system_details"	"sys4_battery_1_model"	"text"			"YES"		204
"project_system_details"	"sys4_battery1_id"	"uuid"			"YES"		205
"project_system_details"	"sys4_battery2_existing"	"boolean"			"YES"		206
"project_system_details"	"sys4_battery_2_qty"	"integer"		32	"YES"		207
"project_system_details"	"sys4_battery_2_make"	"text"			"YES"		208
"project_system_details"	"sys4_battery_2_model"	"text"			"YES"		209
"project_system_details"	"sys4_battery2_id"	"uuid"			"YES"		210
"project_system_details"	"sys4_combination_method"	"text"			"YES"		211
"project_system_details"	"ele_ses_type"	"text"			"YES"		212
"project_system_details"	"ele_main_circuit_breakers_qty"	"integer"		32	"YES"		213
"project_system_details"	"ele_bus_bar_rating"	"text"			"YES"		214
"project_system_details"	"ele_main_circuit_breaker_rating"	"text"			"YES"		215
"project_system_details"	"ele_feeder_location_on_bus_bar"	"text"			"YES"		216
"project_system_details"	"ele_main_panel_upgrade"	"boolean"			"YES"		217
"project_system_details"	"ele_floor_area"	"text"			"YES"		218
"project_system_details"	"ele_small_appliance_circuits"	"text"			"YES"		219
"project_system_details"	"ele_loadtype_1"	"text"			"YES"		220
"project_system_details"	"ele_loadtype_2"	"text"			"YES"		221
"project_system_details"	"ele_loadtype_3"	"text"			"YES"		222
"project_system_details"	"ele_loadtype_4"	"text"			"YES"		223
"project_system_details"	"ele_loadtype_5"	"text"			"YES"		224
"project_system_details"	"ele_loadtype_6"	"text"			"YES"		225
"project_system_details"	"ele_loadtype_7"	"text"			"YES"		226
"project_system_details"	"ele_loadtype_8"	"text"			"YES"		227
"project_system_details"	"ele_loadtype_9"	"text"			"YES"		228
"project_system_details"	"ele_loadtype_10"	"text"			"YES"		229
"project_system_details"	"ele_loadtype_11"	"text"			"YES"		230
"project_system_details"	"ele_loadtype_12"	"text"			"YES"		231
"project_system_details"	"ele_loadtype_13"	"text"			"YES"		232
"project_system_details"	"ele_loadtype_14"	"text"			"YES"		233
"project_system_details"	"ele_loadtype_15"	"text"			"YES"		234
"project_system_details"	"ele_loadtype_16"	"text"			"YES"		235
"project_system_details"	"ele_loadtype_17"	"text"			"YES"		236
"project_system_details"	"ele_2p_breaker_1"	"text"			"YES"		237
"project_system_details"	"ele_2p_breaker_2"	"text"			"YES"		238
"project_system_details"	"ele_2p_breaker_3"	"text"			"YES"		239
"project_system_details"	"ele_2p_breaker_4"	"text"			"YES"		240
"project_system_details"	"ele_2p_breaker_5"	"text"			"YES"		241
"project_system_details"	"ele_2p_breaker_6"	"text"			"YES"		242
"project_system_details"	"ele_2p_breaker_7"	"text"			"YES"		243
"project_system_details"	"ele_2p_breaker_8"	"text"			"YES"		244
"project_system_details"	"ele_2p_breaker_9"	"text"			"YES"		245
"project_system_details"	"ele_2p_breaker_10"	"text"			"YES"		246
"project_system_details"	"ele_2p_breaker_11"	"text"			"YES"		247
"project_system_details"	"ele_2p_breaker_12"	"text"			"YES"		248
"project_system_details"	"ele_2p_breaker_13"	"text"			"YES"		249
"project_system_details"	"ele_2p_breaker_14"	"text"			"YES"		250
"project_system_details"	"ele_2p_breaker_15"	"text"			"YES"		251
"project_system_details"	"ele_2p_breaker_16"	"text"			"YES"		252
"project_system_details"	"ele_2p_breaker_17"	"text"			"YES"		253
"project_system_details"	"ele_method_of_interconnection"	"text"			"YES"		254
"project_system_details"	"ele_breaker_location"	"text"			"YES"		255
"project_system_details"	"bls1_backuploader_existing"	"boolean"			"YES"		256
"project_system_details"	"bls1_backuploader_bus_bar_rating"	"text"			"YES"		257
"project_system_details"	"bls1_backuploader_main_breaker_rating"	"text"			"YES"		258
"project_system_details"	"bls1_backuploader_upstream_breaker_rating"	"text"			"YES"		259
"project_system_details"	"bls1_backup_load_sub_panel_make"	"text"			"YES"		260
"project_system_details"	"bls1_backup_load_sub_panel_model"	"text"			"YES"		261
"project_system_details"	"bls1_backupload_sub_panel_id"	"uuid"			"YES"		262
"project_system_details"	"bls1_load_type_1"	"text"			"YES"		263
"project_system_details"	"bls1_load_type_2"	"text"			"YES"		264
"project_system_details"	"bls1_load_type_3"	"text"			"YES"		265
"project_system_details"	"bls1_load_type_4"	"text"			"YES"		266
"project_system_details"	"bls1_load_type_5"	"text"			"YES"		267
"project_system_details"	"bls1_load_type_6"	"text"			"YES"		268
"project_system_details"	"bls1_load_type_7"	"text"			"YES"		269
"project_system_details"	"bls1_load_type_8"	"text"			"YES"		270
"project_system_details"	"bls1_load_type_9"	"text"			"YES"		271
"project_system_details"	"bls1_load_type_10"	"text"			"YES"		272
"project_system_details"	"bls1_load_type_11"	"text"			"YES"		273
"project_system_details"	"bls1_load_type_12"	"text"			"YES"		274
"project_system_details"	"bls1_load_type_13"	"text"			"YES"		275
"project_system_details"	"bls1_load_type_14"	"text"			"YES"		276
"project_system_details"	"bls1_load_type_15"	"text"			"YES"		277
"project_system_details"	"bls1_load_type_16"	"text"			"YES"		278
"project_system_details"	"bls1_load_type_17"	"text"			"YES"		279
"project_system_details"	"bls1_load_type_18"	"text"			"YES"		280
"project_system_details"	"bls1_load_type_19"	"text"			"YES"		281
"project_system_details"	"bls1_load_type_20"	"text"			"YES"		282
"project_system_details"	"bls1_breaker_rating_1"	"text"			"YES"		283
"project_system_details"	"bls1_breaker_rating_2"	"text"			"YES"		284
"project_system_details"	"bls1_breaker_rating_3"	"text"			"YES"		285
"project_system_details"	"bls1_breaker_rating_4"	"text"			"YES"		286
"project_system_details"	"bls1_breaker_rating_5"	"text"			"YES"		287
"project_system_details"	"bls1_breaker_rating_6"	"text"			"YES"		288
"project_system_details"	"bls1_breaker_rating_7"	"text"			"YES"		289
"project_system_details"	"bls1_breaker_rating_8"	"text"			"YES"		290
"project_system_details"	"bls1_breaker_rating_9"	"text"			"YES"		291
"project_system_details"	"bls1_breaker_rating_10"	"text"			"YES"		292
"project_system_details"	"bls1_breaker_rating_11"	"text"			"YES"		293
"project_system_details"	"bls1_breaker_rating_12"	"text"			"YES"		294
"project_system_details"	"bls1_breaker_rating_13"	"text"			"YES"		295
"project_system_details"	"bls1_breaker_rating_14"	"text"			"YES"		296
"project_system_details"	"bls1_breaker_rating_15"	"text"			"YES"		297
"project_system_details"	"bls1_breaker_rating_16"	"text"			"YES"		298
"project_system_details"	"bls1_breaker_rating_17"	"text"			"YES"		299
"project_system_details"	"bls1_breaker_rating_18"	"text"			"YES"		300
"project_system_details"	"bls1_breaker_rating_19"	"text"			"YES"		301
"project_system_details"	"bls1_breaker_rating_20"	"text"			"YES"		302
"project_system_details"	"bls2_backuploader_existing"	"boolean"			"YES"		303
"project_system_details"	"bls2_bus_bar_rating"	"text"			"YES"		304
"project_system_details"	"bls2_main_breaker_rating"	"text"			"YES"		305
"project_system_details"	"bls2_upstream_breaker_rating"	"text"			"YES"		306
"project_system_details"	"bls2_battery_combiner_panel_make"	"text"			"YES"		307
"project_system_details"	"bls2_battery_combiner_panel_model"	"text"			"YES"		308
"project_system_details"	"bls2_batterycombinerpanel_id"	"uuid"			"YES"		309
"project_system_details"	"spb_subpanel_existing"	"boolean"			"YES"		310
"project_system_details"	"spb_bus_bar_rating"	"text"			"YES"		311
"project_system_details"	"spb_main_breaker_rating"	"text"			"YES"		312
"project_system_details"	"spb_upstream_breaker_rating"	"text"			"YES"		313
"project_system_details"	"spb_sub_panel_make"	"text"			"YES"		314
"project_system_details"	"spb_sub_panel_model"	"text"			"YES"		315
"project_system_details"	"spb_subpanel_id"	"uuid"			"YES"		316
"project_system_details"	"spb_load_type_1"	"text"			"YES"		317
"project_system_details"	"spb_load_type_2"	"text"			"YES"		318
"project_system_details"	"spb_load_type_3"	"text"			"YES"		319
"project_system_details"	"spb_load_type_4"	"text"			"YES"		320
"project_system_details"	"spb_load_type_5"	"text"			"YES"		321
"project_system_details"	"spb_load_type_6"	"text"			"YES"		322
"project_system_details"	"spb_load_type_7"	"text"			"YES"		323
"project_system_details"	"spb_load_type_8"	"text"			"YES"		324
"project_system_details"	"spb_load_type_9"	"text"			"YES"		325
"project_system_details"	"spb_load_type_10"	"text"			"YES"		326
"project_system_details"	"spb_load_type_11"	"text"			"YES"		327
"project_system_details"	"spb_load_type_12"	"text"			"YES"		328
"project_system_details"	"spb_load_type_13"	"text"			"YES"		329
"project_system_details"	"spb_load_type_14"	"text"			"YES"		330
"project_system_details"	"spb_load_type_15"	"text"			"YES"		331
"project_system_details"	"spb_load_type_16"	"text"			"YES"		332
"project_system_details"	"spb_load_type_17"	"text"			"YES"		333
"project_system_details"	"spb_load_type_18"	"text"			"YES"		334
"project_system_details"	"spb_load_type_19"	"text"			"YES"		335
"project_system_details"	"spb_load_type_20"	"text"			"YES"		336
"project_system_details"	"spb_breaker_rating_1"	"text"			"YES"		337
"project_system_details"	"spb_breaker_rating_2"	"text"			"YES"		338
"project_system_details"	"spb_breaker_rating_3"	"text"			"YES"		339
"project_system_details"	"spb_breaker_rating_4"	"text"			"YES"		340
"project_system_details"	"spb_breaker_rating_5"	"text"			"YES"		341
"project_system_details"	"spb_breaker_rating_6"	"text"			"YES"		342
"project_system_details"	"spb_breaker_rating_7"	"text"			"YES"		343
"project_system_details"	"spb_breaker_rating_8"	"text"			"YES"		344
"project_system_details"	"spb_breaker_rating_9"	"text"			"YES"		345
"project_system_details"	"spb_breaker_rating_10"	"text"			"YES"		346
"project_system_details"	"spb_breaker_rating_11"	"text"			"YES"		347
"project_system_details"	"spb_breaker_rating_12"	"text"			"YES"		348
"project_system_details"	"spb_breaker_rating_13"	"text"			"YES"		349
"project_system_details"	"spb_breaker_rating_14"	"text"			"YES"		350
"project_system_details"	"spb_breaker_rating_15"	"text"			"YES"		351
"project_system_details"	"spb_breaker_rating_16"	"text"			"YES"		352
"project_system_details"	"spb_breaker_rating_17"	"text"			"YES"		353
"project_system_details"	"spb_breaker_rating_18"	"text"			"YES"		354
"project_system_details"	"spb_breaker_rating_19"	"text"			"YES"		355
"project_system_details"	"spb_breaker_rating_20"	"text"			"YES"		356
"project_system_details"	"rta_roofing_material"	"text"			"YES"		357
"project_system_details"	"rta_framing_size"	"text"			"YES"		358
"project_system_details"	"rta_framing_spacing"	"text"			"YES"		359
"project_system_details"	"rta_rail_make"	"text"			"YES"		360
"project_system_details"	"rta_rail_model"	"text"			"YES"		361
"project_system_details"	"rta_rail_id"	"uuid"			"YES"		362
"project_system_details"	"rta_attachment_make"	"text"			"YES"		363
"project_system_details"	"rta_attachment_model"	"text"			"YES"		364
"project_system_details"	"rta_attachment_id"	"uuid"			"YES"		365
"project_system_details"	"rtb_roofing_material"	"text"			"YES"		366
"project_system_details"	"rtb_framing_size"	"text"			"YES"		367
"project_system_details"	"rtb_framing_spacing"	"text"			"YES"		368
"project_system_details"	"rtb_rail_make"	"text"			"YES"		369
"project_system_details"	"rtb_rail_model"	"text"			"YES"		370
"project_system_details"	"rtb_rail_id"	"uuid"			"YES"		371
"project_system_details"	"rtb_attachment_make"	"text"			"YES"		372
"project_system_details"	"rtb_attachment_model"	"text"			"YES"		373
"project_system_details"	"rtb_attachment_id"	"uuid"			"YES"		374
"project_system_details"	"mp1_roof_type"	"text"			"YES"		375
"project_system_details"	"mp1_stories"	"integer"		32	"YES"		376
"project_system_details"	"mp1_pitch"	"integer"		32	"YES"		377
"project_system_details"	"mp1_azimuth"	"integer"		32	"YES"		378
"project_system_details"	"mp1_tilt_mount_azimuth"	"integer"		32	"YES"		379
"project_system_details"	"mp1_tilt_mount_pitch"	"integer"		32	"YES"		380
"project_system_details"	"mp2_roof_type"	"text"			"YES"		381
"project_system_details"	"mp2_stories"	"integer"		32	"YES"		382
"project_system_details"	"mp2_pitch"	"integer"		32	"YES"		383
"project_system_details"	"mp2_azimuth"	"integer"		32	"YES"		384
"project_system_details"	"mp2_tilt_mount_azimuth"	"integer"		32	"YES"		385
"project_system_details"	"mp2_tilt_mount_pitch"	"integer"		32	"YES"		386
"project_system_details"	"mp3_roof_type"	"text"			"YES"		387
"project_system_details"	"mp3_stories"	"integer"		32	"YES"		388
"project_system_details"	"mp3_pitch"	"integer"		32	"YES"		389
"project_system_details"	"mp3_azimuth"	"integer"		32	"YES"		390
"project_system_details"	"mp3_tilt_mount_azimuth"	"integer"		32	"YES"		391
"project_system_details"	"mp3_tilt_mount_pitch"	"integer"		32	"YES"		392
"project_system_details"	"mp4_roof_type"	"text"			"YES"		393
"project_system_details"	"mp4_stories"	"integer"		32	"YES"		394
"project_system_details"	"mp4_pitch"	"integer"		32	"YES"		395
"project_system_details"	"mp4_azimuth"	"integer"		32	"YES"		396
"project_system_details"	"mp4_tilt_mount_azimuth"	"integer"		32	"YES"		397
"project_system_details"	"mp4_tilt_mount_pitch"	"integer"		32	"YES"		398
"project_system_details"	"mp5_roof_type"	"text"			"YES"		399
"project_system_details"	"mp5_stories"	"integer"		32	"YES"		400
"project_system_details"	"mp5_pitch"	"integer"		32	"YES"		401
"project_system_details"	"mp5_azimuth"	"integer"		32	"YES"		402
"project_system_details"	"mp5_tilt_mount_azimuth"	"integer"		32	"YES"		403
"project_system_details"	"mp5_tilt_mount_pitch"	"integer"		32	"YES"		404
"project_system_details"	"mp6_roof_type"	"text"			"YES"		405
"project_system_details"	"mp6_stories"	"integer"		32	"YES"		406
"project_system_details"	"mp6_pitch"	"integer"		32	"YES"		407
"project_system_details"	"mp6_azimuth"	"integer"		32	"YES"		408
"project_system_details"	"mp6_tilt_mount_azimuth"	"integer"		32	"YES"		409
"project_system_details"	"mp6_tilt_mount_pitch"	"integer"		32	"YES"		410
"project_system_details"	"mp7_roof_type"	"text"			"YES"		411
"project_system_details"	"mp7_stories"	"integer"		32	"YES"		412
"project_system_details"	"mp7_pitch"	"integer"		32	"YES"		413
"project_system_details"	"mp7_azimuth"	"integer"		32	"YES"		414
