id,uuid,equipment_type,current_manufacturer,new_manufacturer,model
8985,667855da-ccfa-471e-9ce3-dcfbfd07deda,Solar Panel,LG Electronics,LG,LG245S1C-G2
8986,aa0e2c55-8f7a-4476-a001-569fcd20b124,Solar Panel,LG Electronics,LG,LG245S1K-G3
8987,ed159119-48c1-4151-a723-17702c98acb1,Solar Panel,LG Electronics,LG,LG245S1C-G3
8988,52f5c467-78cd-492e-95f5-deb705958500,Solar Panel,LG Electronics,LG,LG250N8K-G4
8989,f3c65d67-42f0-4ffb-ba64-f3c4cc681794,Solar Panel,LG Electronics,LG,LG250S1C-G3
8990,2d5b87c9-580e-4c6e-bec9-6893de137776,Solar Panel,LG Electronics,LG,LG250S1C-G2
8991,466ac984-5f5f-4606-b188-64d0441c8d78,Solar Panel,LG Electronics,LG,LG250S1K-A3
8992,cbf75840-7999-457e-ad17-ee435aea6865,Solar Panel,LG Electronics,LG,LG250S1K-B3
8993,2fc486ef-b88f-4321-9cea-eb871040af62,Solar Panel,LG Electronics,LG,LG255S1C-A3
8994,c98929fb-2506-44cc-b86f-30149950bd05,Solar Panel,LG Electronics,LG,LG255S1C-B3
8995,1a4b4dae-623f-4039-924b-8f2f78881c6e,Solar Panel,LG Electronics,LG,LG250S1K-G3
8996,ac2cd87f-2674-47c2-a83b-ece3ceec914f,Solar Panel,LG Electronics,LG,LG255S1C-G2
8997,44c0ddf2-24d7-4875-ab9d-24b4e966c536,Solar Panel,LG Electronics,LG,LG255S1K-B3
8998,4d6b98df-6031-4ebe-a5c8-2c1bf3b50530,Solar Panel,LG Electronics,LG,LG255S1C-G3
8999,33741b40-e283-41b2-b980-9221971b8e82,Solar Panel,LG Electronics,LG,LG255S1K-G3
9000,de154322-43a4-4758-9c09-7a21e66dc5d3,Solar Panel,LG Electronics,LG,LG255S1K-A3
9001,f8c2dd41-2feb-46e4-be93-982ff9a2496d,Solar Panel,LG Electronics,LG,LG255S1W-A3
9002,2a31122e-fe3f-460b-8f55-96b8d426155b,Solar Panel,LG Electronics,LG,LG260S1C-A3
9003,b4186fd2-4693-43ef-aa36-688c5e60c3af,Solar Panel,LG Electronics,LG,LG260N9K-G4
9004,e6868d66-fdaa-4a29-b73d-6c91a2c17ea2,Solar Panel,LG Electronics,LG,LG255S1W-B3
9005,0ac3185a-090f-4d26-9af1-4b7215bcff59,Solar Panel,LG Electronics,LG,LG260S1K-A3
9006,f6dc1977-b23d-4adf-b5d1-227d9e111f79,Solar Panel,LG Electronics,LG,LG260S1C-G3
9007,f82fc820-6e79-4746-8dee-2f3a58ee671b,Solar Panel,LG Electronics,LG,LG260S1C-G2
9008,f4cb2638-4889-4151-bcf1-fcc674d4b917,Solar Panel,LG Electronics,LG,LG260S1C-B3
9009,02d4380c-55ab-4bed-8500-2ec0d18958e5,Solar Panel,LG Electronics,LG,LG260S1W-B3
9010,6bbf4aac-4414-400d-956b-8b0f498349a7,Solar Panel,LG Electronics,LG,LG260S1K-B3
9011,d645446a-9e4c-46ec-b9bf-b60a18496360,Solar Panel,LG Electronics,LG,LG260S1K-G3
